group,age,fiinc,fninc,ownermort,ownerhome,rentalmort,rentalhome,dweght,year
group 7,0,4648.410076222874,4606.47799014918,-2634.5423096202167,6278.059496034083,-425.9081769569056,1192.366759485232,1.1769589e12,1967
group 6,0,3969.0137034303116,3940.1584294216254,-2018.8162026483303,4504.615503069377,-469.1855128562846,915.6072622661586,1.1596293e12,1967
group 5,0,3311.549154370015,3279.813662175546,-1519.586437521136,3803.810958855728,-403.78564239411116,908.4964397800222,1.1310377e12,1967
group 4,0,2606.951634403605,2582.8222455179002,-997.2841119656474,2982.702205946839,-358.1849477860007,928.7323870572982,1.0799011e12,1967
group 3,0,1797.1062291024266,1764.9605587369715,-626.2557033855014,2077.953494247695,-246.8333403313307,821.2319685026814,9.94102945644e11,1967
group 10,65,23181.602968766434,16744.434029714583,-1411.178681557788,23339.194783286963,-1454.950873683137,29116.81882710921,1.003131e11,1968
group 1,65,35.501331003231314,29.57718304500739,-24.795128715535302,966.2985262833536,-8.100090048650879,131.8917356723971,9.15213248932e11,1968
group 9,65,7875.062691244924,6863.9420002323395,-887.4694617894953,12786.51496021437,-426.85790493760186,15164.592588982081,5.08066e10,1968
group 8,65,7252.006649529658,6559.995022220784,-713.3897829334578,14394.622981733672,-394.98546462943284,8121.823058235756,3.88826e10,1968
group 7,65,5505.454871517276,4834.833624233015,-2101.5469509885766,20052.553993259084,-242.216970011584,11962.976741657785,5.80413e10,1968
group 6,65,4380.373421420851,4030.881068719228,-895.5840692337079,12997.96203983299,-6.831898382398057,8352.025702338784,5.20576e10,1968
group 5,65,3821.3495202735367,3653.4821546365247,-989.4411249682443,11797.894278824959,-47.621465619834886,3945.3907102130365,7.2962346514e10,1968
group 4,65,2961.883298809282,2782.21041066643,-644.3939887420267,9811.682747667073,-98.7358275964971,3900.2763332522677,1.18853371929e11,1968
group 3,65,1952.6280828297868,1849.3355231110224,-620.0161861200556,10498.762052248483,-149.11758163611904,4084.463629841952,2.21377905265e11,1968
group 2,65,1044.7871710609204,1014.6760808592998,-157.41167357936612,3638.9069662737897,-17.80145399314717,2271.6669912754714,3.05862668483e11,1968
group 10,0,14535.474249899342,12529.29188339788,-5044.517032957992,15515.821508750776,-1597.1957076998317,7034.831018303121,1.1354525e12,1968
group 1,0,-194.3463728276261,-316.88519150503544,-415.45085918262913,1280.3276794099274,-696.9059999480011,1216.2982590235722,3.17315833913e11,1968
group 8,0,5891.161557518393,5824.938875178284,-3067.4929617047987,6938.61834694598,-528.3446478687282,1182.1559390286266,1.1800599e12,1968
group 3,0,1924.1928150498682,1893.110756464897,-627.939988285415,2163.6282168566067,-304.11085287391376,851.6981022060719,1.016726082885e12,1968
group 9,0,7270.205472045752,7138.42897589408,-3866.00423793493,8919.00173084121,-943.6048349498352,1823.7366035016405,1.2028209e12,1968
group 7,0,5003.06420390685,4961.543582003544,-2833.1307267012876,5904.4527032018295,-434.2384318957072,966.4001215646084,1.1809167e12,1968
group 6,0,4288.451514028523,4249.61610699239,-2350.2776699067986,4851.312411914582,-515.6335963065035,1072.2707308825552,1.1821125e12,1968
group 5,0,3564.7810177900533,3512.4890449740547,-1636.7676815788227,3481.4968841509067,-484.7054385792637,1219.406345253146,1.163934688679e12,1968
group 4,0,2774.750263645792,2735.074392863436,-1210.7032530412685,3160.7755906319044,-418.73344905068626,908.0520826727844,1.1119627e12,1968
group 2,0,1024.2978607481832,1002.3256423250789,-604.241262429168,1616.1913087970895,-250.19778032394265,857.7105293508944,9.24914053388e11,1968
group 10,65,24264.15774672063,18475.982089470224,-5404.724542504331,24278.989029365763,-1466.5182349116174,29051.030420129686,9.37314e10,1969
group 1,65,47.12182076693218,37.542343504943375,-22.50993179394941,925.7695636338448,-48.10996605837368,188.2656634605362,9.37175229344e11,1969
group 9,65,8527.981133295874,7773.663142884145,-4724.9897485649035,19533.57700845996,-452.3787820222401,14166.853137089078,5.52133e10,1969
group 8,65,7333.806097705305,6874.805916079038,-2632.2724558571326,13933.91334269503,-227.34465102136866,8743.504845223515,3.79901e10,1969
